Date,Open,High,Low,Close,Adj Close,Volume
2007-09-11,161.100006,166.949997,161.100006,166.000000,94.100220,467392
2007-09-12,166.000000,167.000000,164.449997,166.649994,94.468674,838207
2007-09-13,165.399994,172.250000,161.000000,171.250000,97.076279,346232
2007-09-14,170.649994,171.000000,163.100006,166.899994,94.610405,474913
2007-09-17,166.800003,166.800003,161.550003,165.500000,93.816788,275171
2007-09-18,162.000000,178.899994,161.750000,178.699997,101.299454,567289
2007-09-19,180.050003,187.149994,180.050003,186.550003,105.749367,819659
2007-09-20,184.699997,187.399994,181.750000,185.649994,105.239189,336849
2007-09-21,184.850006,187.699997,182.250000,186.699997,105.834412,412896
2007-09-24,186.699997,194.899994,185.000000,191.750000,108.697105,371711
2007-09-25,190.949997,191.699997,184.149994,184.500000,104.587288,322831
2007-09-26,186.050003,190.000000,186.050003,188.550003,106.883110,194337
2007-09-27,191.100006,192.649994,187.600006,189.149994,107.223213,259425
2007-09-28,189.750000,192.050003,186.100006,190.699997,108.101883,303779
2007-10-01,190.800003,192.800003,187.000000,190.350006,107.903481,253785
2007-10-02,191.000000,198.750000,190.750000,196.149994,111.191338,344989
2007-10-03,196.100006,202.899994,195.050003,201.600006,114.280746,346824
2007-10-04,201.500000,201.600006,196.899994,196.899994,111.616470,351869
2007-10-05,196.949997,202.949997,192.500000,202.949997,115.045998,188708
2007-10-08,202.949997,209.949997,201.500000,206.949997,117.313477,276075
2007-10-09,206.699997,211.250000,205.449997,210.500000,119.325874,534520
2007-10-10,210.550003,212.300003,209.500000,212.050003,120.204529,289974
2007-10-11,212.100006,219.000000,211.350006,218.250000,123.719109,581950
2007-10-12,216.449997,219.300003,213.000000,217.500000,123.293991,271832
2007-10-15,217.600006,218.000000,207.250000,208.100006,117.965401,370595
2007-10-16,207.899994,210.699997,200.750000,209.500000,118.759010,369358
2007-10-17,208.100006,214.800003,208.100006,212.000000,120.176193,172432
2007-10-18,211.949997,214.750000,206.000000,209.000000,118.475578,252287
